prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
diagnosis,Abdominal fibromatosis,Abdominal fibromatosis,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acinar cell carcinoma,Acinar cell carcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute erythroid leukemia,Acute erythroid leukemia,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute leukemia, NOS","Acute leukemia, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute Leukemias of Ambiguous Lineage,Acute Leukemias of Ambiguous Lineage,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute Lymphoblastic Leukemia, NOS","Acute Lymphoblastic Leukemia, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute megakaryoblastic leukemia,Acute megakaryoblastic leukemia,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute monocytic leukemia,Acute monocytic leukemia,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1,Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute myeloid leukemia with abnormal marrow eosinophils,Acute myeloid leukemia with abnormal marrow eosinophils,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute myeloid leukemia with biallelic mutation of CEBPA,Acute myeloid leukemia with biallelic mutation of CEBPA,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute myeloid leukemia with mutated NPM1,Acute myeloid leukemia with mutated NPM1,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute myeloid leukemia with myelodysplasia-related changes,Acute myeloid leukemia with myelodysplasia-related changes,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Acute myeloid leukemia without maturation,Acute myeloid leukemia without maturation,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute myeloid leukemia, 11q23 abnormalities","Acute myeloid leukemia, 11q23 abnormalities","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute myeloid leukemia, minimal differentiation","Acute myeloid leukemia, minimal differentiation","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute myeloid leukemia, NOS","Acute myeloid leukemia, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute myeloid leukemia, t(8;21)(q22;q22)","Acute myeloid leukemia, t(8;21)(q22;q22)","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute myelomonocytic leukemia, NOS","Acute myelomonocytic leukemia, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Acute promyelocytic leukemia, t(15;17)(q22;q11-12)","Acute promyelocytic leukemia, t(15;17)(q22;q11-12)","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adamantinoma of long bones,Adamantinoma of long bones,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adamantinomatous craniopharyngioma,Adamantinomatous craniopharyngioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adenocarcinoma in adenomatous polyposis coli,Adenocarcinoma in adenomatous polyposis coli,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adenocarcinoma in situ in adenomatous polyp,Adenocarcinoma in situ in adenomatous polyp,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adenocarcinoma with mixed subtypes,Adenocarcinoma with mixed subtypes,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adenocarcinoma with neuroendocrine differentiation,Adenocarcinoma with neuroendocrine differentiation,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Adenocarcinoma, metastatic, NOS","Adenocarcinoma, metastatic, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Adenocarcinoma, NOS","Adenocarcinoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adenoid cystic carcinoma,Adenoid cystic carcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Adenoma, NOS","Adenoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adenosarcoma,Adenosarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Adrenal cortical adenoma, NOS","Adrenal cortical adenoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Adrenal cortical carcinoma,Adrenal cortical carcinoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Aggressive fibromatosis,Aggressive fibromatosis,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Alveolar rhabdomyosarcoma,Alveolar rhabdomyosarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Alveolar soft part sarcoma,Alveolar soft part sarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Anaplastic Ependymoma, Posterior Fossa","Anaplastic Ependymoma, Posterior Fossa","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Anaplastic Large Cell Lymphoma,Anaplastic Large Cell Lymphoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Anaplastic large cell lymphoma (ALK+/ALK-),Anaplastic large cell lymphoma (ALK+/ALK-),"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Anaplastic large cell lymphoma, ALK positive","Anaplastic large cell lymphoma, ALK positive","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Anaplastic large cell lymphoma, T-cell and Null-cell type","Anaplastic large cell lymphoma, T-cell and Null-cell type","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Anaplastic Meningioma,Anaplastic Meningioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Angiocentric glioma,Angiocentric glioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Angiocentric immunoproliferative lesion,Angiocentric immunoproliferative lesion,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Angiomatoid fibrous histiocytoma,Angiomatoid fibrous histiocytoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Angiomyofibroblastoma,Angiomyofibroblastoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Angiomyosarcoma,Angiomyosarcoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Astroblastoma,Astroblastoma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Astroblastoma, MN1-altered","Astroblastoma, MN1-altered","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Astrocytoma, anaplastic, NOS","Astrocytoma, anaplastic, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Astrocytoma, benign","Astrocytoma, benign","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Astrocytoma, IDH-mutant","Astrocytoma, IDH-mutant","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"Astrocytoma, NOS","Astrocytoma, NOS","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Atypical teratoid/rhabdoid tumor,Atypical teratoid/rhabdoid tumor,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,ATRT-MYC,ATRT-MYC,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,ATRT-SHH,ATRT-SHH,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,ATRT-TYR,ATRT-TYR,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,"ATRT, NOS or NEC","ATRT, NOS or NEC","The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Atypical choroid plexus papilloma,Atypical choroid plexus papilloma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,Atypical Meningioma,Atypical Meningioma,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,B lymphoblastic leukemia/lymphoma with hyperdiploidy,B lymphoblastic leukemia/lymphoma with hyperdiploidy,"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
diagnosis,B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL),B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL),"The term which identifies normal and abnormal cells and tissues used to define the presence and nature of disease, as categorized by diagnosis_classification_system property.",C3DC,4.0.5,diagnosis
