prop_handle,enum_value,term_value,http_status,passed,notes
diagnosis,Abdominal fibromatosis,Abdominal fibromatosis,200,True,
diagnosis,Acinar cell carcinoma,Acinar cell carcinoma,200,True,
diagnosis,Acute erythroid leukemia,Acute erythroid leukemia,200,True,
diagnosis,"Acute leukemia, NOS","Acute leukemia, NOS",200,True,
diagnosis,Acute Leukemias of Ambiguous Lineage,Acute Leukemias of Ambiguous Lineage,200,True,
diagnosis,"Acute Lymphoblastic Leukemia, NOS","Acute Lymphoblastic Leukemia, NOS",200,True,
diagnosis,Acute megakaryoblastic leukemia,Acute megakaryoblastic leukemia,200,True,
diagnosis,Acute monocytic leukemia,Acute monocytic leukemia,200,True,
diagnosis,Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1,Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1,200,True,
diagnosis,Acute myeloid leukemia with abnormal marrow eosinophils,Acute myeloid leukemia with abnormal marrow eosinophils,200,True,
diagnosis,Acute myeloid leukemia with biallelic mutation of CEBPA,Acute myeloid leukemia with biallelic mutation of CEBPA,200,True,
diagnosis,Acute myeloid leukemia with mutated NPM1,Acute myeloid leukemia with mutated NPM1,200,True,
diagnosis,Acute myeloid leukemia with myelodysplasia-related changes,Acute myeloid leukemia with myelodysplasia-related changes,200,True,
diagnosis,Acute myeloid leukemia without maturation,Acute myeloid leukemia without maturation,200,True,
diagnosis,"Acute myeloid leukemia, 11q23 abnormalities","Acute myeloid leukemia, 11q23 abnormalities",200,True,
diagnosis,"Acute myeloid leukemia, minimal differentiation","Acute myeloid leukemia, minimal differentiation",200,True,
diagnosis,"Acute myeloid leukemia, NOS","Acute myeloid leukemia, NOS",200,True,
diagnosis,"Acute myeloid leukemia, t(8;21)(q22;q22)","Acute myeloid leukemia, t(8;21)(q22;q22)",200,True,
diagnosis,"Acute myelomonocytic leukemia, NOS","Acute myelomonocytic leukemia, NOS",200,True,
diagnosis,"Acute promyelocytic leukemia, t(15;17)(q22;q11-12)","Acute promyelocytic leukemia, t(15;17)(q22;q11-12)",200,True,
diagnosis,Adamantinoma of long bones,Adamantinoma of long bones,200,True,
diagnosis,Adamantinomatous craniopharyngioma,Adamantinomatous craniopharyngioma,200,True,
diagnosis,Adenocarcinoma in adenomatous polyposis coli,Adenocarcinoma in adenomatous polyposis coli,200,True,
diagnosis,Adenocarcinoma in situ in adenomatous polyp,Adenocarcinoma in situ in adenomatous polyp,200,True,
diagnosis,Adenocarcinoma with mixed subtypes,Adenocarcinoma with mixed subtypes,200,True,
diagnosis,Adenocarcinoma with neuroendocrine differentiation,Adenocarcinoma with neuroendocrine differentiation,200,True,
