prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
consent_group_name,GRU,,The words or acronym which describe a set of study participants who have signed the same consent agreement and that will be included in the dbGaP repository.,,,
consent_group_name,HMB,,The words or acronym which describe a set of study participants who have signed the same consent agreement and that will be included in the dbGaP repository.,,,
genomic_source_category,Germline,,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,,,
genomic_source_category,Not Reported,,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,,,
genomic_source_category,Somatic,,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,,,
genomic_source_category,Somatic Mosaic,,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,,,
genomic_source_category,Unknown,,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,,,
method,Archer Fusion,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
method,DNA Sequencing,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
method,Methylation Analysis,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
method,Pathology,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
method,Radiology,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
method,RNA Sequencing,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
method,Not Reported,,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,,,
chromosome,Chr 1,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 10,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 11,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 12,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 13,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 14,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 15,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 16,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 17,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 18,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 19,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 2,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 20,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 21,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 22,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 23,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 3,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 4,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 5,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 6,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 7,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 8,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr 9,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr M,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr X,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
chromosome,Chr Y,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,,,
