prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
consent_group_name,GRU,GRU,The words or acronym which describe a set of study participants who have signed the same consent agreement and that will be included in the dbGaP repository.,CCDI-DCC,1.0.0,consent_group
consent_group_name,HMB,HMB,The words or acronym which describe a set of study participants who have signed the same consent agreement and that will be included in the dbGaP repository.,CCDI-DCC,1.0.0,consent_group
genomic_source_category,Germline,Germline,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,CCDI-DCC,1.0.0,genetic_analysis
genomic_source_category,Not Reported,Not Reported,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,CCDI-DCC,1.0.0,genetic_analysis
genomic_source_category,Somatic,Somatic,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,CCDI-DCC,1.0.0,genetic_analysis
genomic_source_category,Somatic Mosaic,Somatic Mosaic,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,CCDI-DCC,1.0.0,genetic_analysis
genomic_source_category,Unknown,Unknown,The text term that describes the origin of a variation in the nucleic acid sequence of a specific gene.,CCDI-DCC,1.0.0,genetic_analysis
method,Archer Fusion,Archer Fusion,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
method,DNA Sequencing,DNA Sequencing,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
method,Methylation Analysis,Methylation Analysis,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
method,Pathology,Pathology,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
method,Radiology,Radiology,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
method,RNA Sequencing,RNA Sequencing,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
method,Not Reported,Not Reported,The type of systematic investigation using controlled observations and measurements to test hypotheses or develop a plan of action based on the facts discovered.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 1,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 10,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 11,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 12,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 13,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 14,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 15,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 16,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 17,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 18,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 19,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 2,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 20,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 21,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 22,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 23,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 3,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 4,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 5,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 6,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 7,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 8,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr 9,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr M,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr X,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Chr Y,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Not Reported,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
chromosome,Unknown,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 1,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 10,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
