prop_handle,enum_value,term_value,http_status,passed,notes
consent_group_name,GRU,GRU,200,True,
consent_group_name,HMB,HMB,200,True,
genomic_source_category,Germline,Germline,200,True,
genomic_source_category,Not Reported,Not Reported,200,True,
genomic_source_category,Somatic,Somatic,200,True,
genomic_source_category,Somatic Mosaic,Somatic Mosaic,200,True,
genomic_source_category,Unknown,Unknown,200,True,
method,Archer Fusion,Archer Fusion,200,True,
method,DNA Sequencing,DNA Sequencing,200,True,
method,Methylation Analysis,Methylation Analysis,200,True,
method,Pathology,Pathology,200,True,
method,Radiology,Radiology,200,True,
method,RNA Sequencing,RNA Sequencing,200,True,
method,Not Reported,Not Reported,200,True,
chromosome,Chr 1,Chr 1,200,True,
chromosome,Chr 10,Chr 10,200,True,
chromosome,Chr 11,Chr 11,200,True,
chromosome,Chr 12,Chr 12,200,True,
chromosome,Chr 13,Chr 13,200,True,
chromosome,Chr 14,Chr 14,200,True,
chromosome,Chr 15,Chr 15,200,True,
chromosome,Chr 16,Chr 16,200,True,
chromosome,Chr 17,Chr 17,200,True,
chromosome,Chr 18,Chr 18,200,True,
chromosome,Chr 19,Chr 19,200,True,
chromosome,Chr 2,Chr 2,200,True,
chromosome,Chr 20,Chr 20,200,True,
chromosome,Chr 21,Chr 21,200,True,
chromosome,Chr 22,Chr 22,200,True,
chromosome,Chr 23,Chr 23,200,True,
chromosome,Chr 3,Chr 3,200,True,
chromosome,Chr 4,Chr 4,200,True,
chromosome,Chr 5,Chr 5,200,True,
chromosome,Chr 6,Chr 6,200,True,
chromosome,Chr 7,Chr 7,200,True,
chromosome,Chr 8,Chr 8,200,True,
chromosome,Chr 9,Chr 9,200,True,
chromosome,Chr M,Chr M,200,True,
chromosome,Chr X,Chr X,200,True,
chromosome,Chr Y,Chr Y,200,True,
chromosome,Not Reported,Not Reported,200,True,
chromosome,Unknown,Unknown,200,True,
translocation_partner_chromosome,Chr 1,Chr 1,200,True,
translocation_partner_chromosome,Chr 10,Chr 10,200,True,
translocation_partner_chromosome,Chr 11,Chr 11,200,True,
translocation_partner_chromosome,Chr 12,Chr 12,200,True,
translocation_partner_chromosome,Chr 13,Chr 13,200,True,
translocation_partner_chromosome,Chr 14,Chr 14,200,True,
translocation_partner_chromosome,Chr 15,Chr 15,200,True,
translocation_partner_chromosome,Chr 16,Chr 16,200,True,
translocation_partner_chromosome,Chr 17,Chr 17,200,True,
translocation_partner_chromosome,Chr 18,Chr 18,200,True,
translocation_partner_chromosome,Chr 19,Chr 19,200,True,
translocation_partner_chromosome,Chr 2,Chr 2,200,True,
translocation_partner_chromosome,Chr 20,Chr 20,200,True,
translocation_partner_chromosome,Chr 21,Chr 21,200,True,
translocation_partner_chromosome,Chr 22,Chr 22,200,True,
translocation_partner_chromosome,Chr 23,Chr 23,200,True,
translocation_partner_chromosome,Chr 3,Chr 3,200,True,
translocation_partner_chromosome,Chr 4,Chr 4,200,True,
translocation_partner_chromosome,Chr 5,Chr 5,200,True,
translocation_partner_chromosome,Chr 6,Chr 6,200,True,
translocation_partner_chromosome,Chr 7,Chr 7,200,True,
translocation_partner_chromosome,Chr 8,Chr 8,200,True,
translocation_partner_chromosome,Chr 9,Chr 9,200,True,
translocation_partner_chromosome,Chr M,Chr M,200,True,
translocation_partner_chromosome,Chr X,Chr X,200,True,
translocation_partner_chromosome,Chr Y,Chr Y,200,True,
translocation_partner_chromosome,Not Reported,Not Reported,200,True,
translocation_partner_chromosome,Unknown,Unknown,200,True,
alteration,11q Deletion,11q Deletion,200,True,
alteration,12q Gain,12q Gain,200,True,
alteration,16q Loss,16q Loss,200,True,
alteration,17q Gain,17q Gain,200,True,
alteration,1p Deletion,1p Deletion,200,True,
alteration,1q Gain,1q Gain,200,True,
alteration,45XO,45XO,200,True,
alteration,45XO w/ Y chromosomal material,45XO w/ Y chromosomal material,200,True,
alteration,46XX,46XX,200,True,
alteration,46XY,46XY,200,True,
alteration,47XXX,47XXX,200,True,
alteration,47XXY,47XXY,200,True,
alteration,47XYY,47XYY,200,True,
alteration,48XXXX,48XXXX,200,True,
alteration,48XXXY,48XXXY,200,True,
alteration,8q Gain,8q Gain,200,True,
alteration,AKT mutation,AKT mutation,200,True,
alteration,ALK Mutation,ALK Mutation,200,True,
alteration,ALK p.R1275L mutation,ALK p.R1275L mutation,200,True,
alteration,ALK Rearrangement,ALK Rearrangement,200,True,
alteration,ARID1A mutation,ARID1A mutation,200,True,
alteration,ATM mutation,ATM mutation,200,True,
alteration,BCOR mutation,BCOR mutation,200,True,
alteration,BCOR Rearranged,BCOR Rearranged,200,True,
alteration,BCOR-MAML3,BCOR-MAML3,200,True,
alteration,BCR-ABL1 Fusion,BCR-ABL1 Fusion,200,True,
alteration,BRAF Mutation,BRAF Mutation,200,True,
alteration,BRAF V600E,BRAF V600E,200,True,
alteration,BRCA2 Mutation,BRCA2 Mutation,200,True,
alteration,CCNB3-BCOR,CCNB3-BCOR,200,True,
alteration,CCND1 mutation,CCND1 mutation,200,True,
alteration,CCND2 Mutation,CCND2 Mutation,200,True,
alteration,CDK4 mutation,CDK4 mutation,200,True,
alteration,CDKN2A,CDKN2A,200,True,
alteration,CDKN2A Mutation,CDKN2A Mutation,200,True,
alteration,CEBPA mutation - biallelic,CEBPA mutation - biallelic,200,True,
alteration,CEBPA mutation - monoallelic,CEBPA mutation - monoallelic,200,True,
alteration,CEBPA mutation - mutation unspecified,CEBPA mutation - mutation unspecified,200,True,
alteration,Chromosome 11 Loss,Chromosome 11 Loss,200,True,
alteration,Chromosome 14q Loss,Chromosome 14q Loss,200,True,
alteration,CIC Rearranged,CIC Rearranged,200,True,
alteration,CIC-DUX4,CIC-DUX4,200,True,
alteration,CIC-DUX4L10,CIC-DUX4L10,200,True,
alteration,CKIT mutation - ex17,CKIT mutation - ex17,200,True,
alteration,CKIT mutation - ex8,CKIT mutation - ex8,200,True,
alteration,CKIT mutation - unspecified,CKIT mutation - unspecified,200,True,
alteration,Complex karyotype,Complex karyotype,200,True,
alteration,CTNNB1 Mutation,CTNNB1 Mutation,200,True,
alteration,del(13q) (13q 14 - 21),del(13q) (13q 14 - 21),200,True,
alteration,del(17p),del(17p),200,True,
alteration,del(5q)(5q31-q32),del(5q)(5q31-q32),200,True,
alteration,del(5q),del(5q),200,True,
alteration,del(7q),del(7q),200,True,
alteration,del(9q),del(9q),200,True,
alteration,der.12p,der.12p,200,True,
alteration,DICER1 mutation,DICER1 mutation,200,True,
alteration,E2A/PBX1 t(1;19),E2A/PBX1 t(1;19),200,True,
alteration,ETV6 rearranged,ETV6 rearranged,200,True,
alteration,ETV6-RUNX1 t(12;21)(p13;q22)(formerly TEL-AML1),ETV6-RUNX1 t(12;21)(p13;q22)(formerly TEL-AML1),200,True,
alteration,EWSR1 Rearranged,EWSR1 Rearranged,200,True,
alteration,EWSR1-ATF1,EWSR1-ATF1,200,True,
alteration,EWSR1-CREB1,EWSR1-CREB1,200,True,
alteration,EWSR1-DDIT3,EWSR1-DDIT3,200,True,
alteration,EWSR1-ERG,EWSR1-ERG,200,True,
alteration,EWSR1-ETV1,EWSR1-ETV1,200,True,
alteration,EWSR1-ETV4,EWSR1-ETV4,200,True,
alteration,EWSR1-FEV,EWSR1-FEV,200,True,
alteration,EWSR1-FLI1,EWSR1-FLI1,200,True,
alteration,EWSR1-KLF17,EWSR1-KLF17,200,True,
alteration,EWSR1-NR4A3,EWSR1-NR4A3,200,True,
alteration,EWSR1-PBX1,EWSR1-PBX1,200,True,
alteration,EWSR1-POU5F1,EWSR1-POU5F1,200,True,
alteration,EWSR1-WT1,EWSR1-WT1,200,True,
alteration,EWSR1-ZNF444,EWSR1-ZNF444,200,True,
alteration,FBXW7 mutation,FBXW7 mutation,200,True,
alteration,FGFR4 mutation,FGFR4 mutation,200,True,
alteration,FLT3 internal tandem duplication (ITD),FLT3 internal tandem duplication (ITD),200,True,
alteration,FLT3-TKD,FLT3-TKD,200,True,
alteration,FOXO1 rearranged,FOXO1 rearranged,200,True,
alteration,FUS Rearranged,FUS Rearranged,200,True,
alteration,FUS Translocation Present,FUS Translocation Present,200,True,
alteration,FUS-DDIT3,FUS-DDIT3,200,True,
alteration,FUS-ERG,FUS-ERG,200,True,
alteration,FUS-FEV,FUS-FEV,200,True,
alteration,FUS-KLF17,FUS-KLF17,200,True,
alteration,GAB1 mutation,GAB1 mutation,200,True,
alteration,GATA1 mutation,GATA1 mutation,200,True,
alteration,GLI2 Amplification,GLI2 Amplification,200,True,
alteration,HRAS mutation,HRAS mutation,200,True,
alteration,iAMP21,iAMP21,200,True,
alteration,IGF1R mutation,IGF1R mutation,200,True,
alteration,inv(16),inv(16),200,True,
alteration,inv(16)(p13.3q24.3)/CBFA2T3-GLIS2,inv(16)(p13.3q24.3)/CBFA2T3-GLIS2,200,True,
alteration,inv(16)(p13q22),inv(16)(p13q22),200,True,
alteration,inv(3)(q21;q21.2),inv(3)(q21;q21.2),200,True,
alteration,inv(X)(p11.4;p11.22),inv(X)(p11.4;p11.22),200,True,
alteration,KIT Exon 8 Mutation,KIT Exon 8 Mutation,200,True,
alteration,KIT Exon 17 Mutation,KIT Exon 17 Mutation,200,True,
alteration,K-RAS mutation,K-RAS mutation,200,True,
alteration,KRAS Mutation,KRAS Mutation,200,True,
alteration,Loss of Chromosome 11q (Deletion),Loss of Chromosome 11q (Deletion),200,True,
alteration,Loss of Chromosome 1p (Deletion),Loss of Chromosome 1p (Deletion),200,True,
alteration,Loss of chromosome Y (LOY),Loss of chromosome Y (LOY),200,True,
alteration,MDM2 mutation,MDM2 mutation,200,True,
alteration,MLL Other partner,MLL Other partner,200,True,
alteration,Monosomy 5,Monosomy 5,200,True,
alteration,Monosomy 7,Monosomy 7,200,True,
alteration,Monosomy X,Monosomy X,200,True,
alteration,MTOR mutation,MTOR mutation,200,True,
alteration,MYC Amplification,MYC Amplification,200,True,
alteration,MYCN Amplification,MYCN Amplification,200,True,
alteration,MYCN mutation,MYCN mutation,200,True,
alteration,MYOD1 Mutation,MYOD1 Mutation,200,True,
alteration,N-RAS mutation,N-RAS mutation,200,True,
alteration,NF1 mutation,NF1 mutation,200,True,
alteration,Non-KMT2A MLLT10,Non-KMT2A MLLT10,200,True,
alteration,NPM1 mutation,NPM1 mutation,200,True,
alteration,NRAS mutation,NRAS mutation,200,True,
alteration,NTRK Rearranged,NTRK Rearranged,200,True,
alteration,Not Reported,Not Reported,200,True,
alteration,Other,Other,200,True,
alteration,p.F1174L,p.F1174L,200,True,
alteration,PDGFRA Mutation,PDGFRA Mutation,200,True,
alteration,PIK3CA Mutation,PIK3CA Mutation,200,True,
alteration,PKN1 mutation,PKN1 mutation,200,True,
alteration,PTCH1 Mutation,PTCH1 Mutation,200,True,
alteration,PTPN11 mutation,PTPN11 mutation,200,True,
alteration,ROBO1 mutation,ROBO1 mutation,200,True,
alteration,ROS1 rearranged,ROS1 rearranged,200,True,
alteration,RUNX1 mutation,RUNX1 mutation,200,True,
alteration,SMARCA4 mutation,SMARCA4 mutation,200,True,
alteration,SMARCB1 deleted/mutated,SMARCB1 deleted/mutated,200,True,
alteration,SMO Mutation,SMO Mutation,200,True,
alteration,SOS1 mutation,SOS1 mutation,200,True,
alteration,SOS2 mutation,SOS2 mutation,200,True,
alteration,STAG2,STAG2,200,True,
alteration,SUFU Mutation,SUFU Mutation,200,True,
alteration,t(10;11)(p11.2;q23),t(10;11)(p11.2;q23),200,True,
alteration,t(10;11)(p12;q23) / MLL-MLLT10(AF10),t(10;11)(p12;q23) / MLL-MLLT10(AF10),200,True,
alteration,t(10;19)(q26;q13),t(10;19)(q26;q13),200,True,
alteration,t(11;15)(p15;q35)/NUP98/JARID1A,t(11;15)(p15;q35)/NUP98/JARID1A,200,True,
alteration,t(11;16)(q13; p11),t(11;16)(q13; p11),200,True,
alteration,t(11;17)(AF17),t(11;17)(AF17),200,True,
alteration,t(11;19)(q13;q13.4),t(11;19)(q13;q13.4),200,True,
alteration,t(11;19)(q23;p13) (MLL-ENL)/(MLL-ELL),t(11;19)(q23;p13) (MLL-ENL)/(MLL-ELL),200,True,
alteration,t(11;19)(q23;p13.1) (MLL-ELL),t(11;19)(q23;p13.1) (MLL-ELL),200,True,
alteration,t(11;19)(q23;p13.3) (MLL-ENL),t(11;19)(q23;p13.3) (MLL-ENL),200,True,
alteration,t(11;22)(p13;q12),t(11;22)(p13;q12),200,True,
alteration,t(11;22)(q24;q12),t(11;22)(q24;q12),200,True,
alteration,"t(11;22), NOS","t(11;22), NOS",200,True,
alteration,t(12;15)(p13;q25),t(12;15)(p13;q25),200,True,
alteration,t(12;16)(q13;p11),t(12;16)(q13;p11),200,True,
alteration,t(12;22)(q13.12;q12),t(12;22)(q13.12;q12),200,True,
alteration,t(12;22)(q13.3;q12),t(12;22)(q13.3;q12),200,True,
alteration,t(12;22)(q13;q12),t(12;22)(q13;q12),200,True,
alteration,t(12;22;20)(q13;q12;q11),t(12;22;20)(q13;q12;q11),200,True,
alteration,t(15;17)(q24;q21),t(15;17)(q24;q21),200,True,
alteration,t(16;16)(p13.1;q22),t(16;16)(p13.1;q22),200,True,
alteration,t(16;21)(p11;q22),t(16;21)(p11;q22),200,True,
alteration,t(16;21)(p11;q22)FUS/ERG,t(16;21)(p11;q22)FUS/ERG,200,True,
alteration,t(16;21)(q24;q22)RUNX1-CBFA2T3,t(16;21)(q24;q22)RUNX1-CBFA2T3,200,True,
alteration,t(17;22)(q21;q12),t(17;22)(q21;q12),200,True,
alteration,t(17;22)(q22;q13),t(17;22)(q22;q13),200,True,
alteration,t(19;22)(q13;q12),t(19;22)(q13;q12),200,True,
alteration,t(1;10)(p22-31; q24-25),t(1;10)(p22-31; q24-25),200,True,
alteration,t(1;11)(q21;q23) / MLL-MLLT11(AF1Q),t(1;11)(q21;q23) / MLL-MLLT11(AF1Q),200,True,
alteration,t(1;16)(p34;p11),t(1;16)(p34;p11),200,True,
alteration,t(1;22)(p34;q12),t(1;22)(p34;q12),200,True,
alteration,t(1;22)(q23;q12),t(1;22)(q23;q12),200,True,
alteration,t(1;22)(RBM15-MKL1),t(1;22)(RBM15-MKL1),200,True,
alteration,t(21;22)(q22;q12),t(21;22)(q22;q12),200,True,
alteration,t(2;12),t(2;12),200,True,
alteration,t(2;16)(q35;p11),t(2;16)(q35;p11),200,True,
alteration,t(2;22)(q33.3;q12),t(2;22)(q33.3;q12),200,True,
alteration,t(2;22)(q33;q12),t(2;22)(q33;q12),200,True,
alteration,t(2;22)(q34;q12),t(2;22)(q34;q12),200,True,
alteration,t(3;12)(q23;p12.3)(ETV6/EVI1),t(3;12)(q23;p12.3)(ETV6/EVI1),200,True,
alteration,"t(3;3)(q21;q26.2), RPN1-EVI1","t(3;3)(q21;q26.2), RPN1-EVI1",200,True,
alteration,t(3;5)(p25;q34)NPM1/MLF1,t(3;5)(p25;q34)NPM1/MLF1,200,True,
alteration,t(4;11)(q21;q23) / MLL-MLLT2(AF4),t(4;11)(q21;q23) / MLL-MLLT2(AF4),200,True,
alteration,t(4;19)(q25;q13),t(4;19)(q25;q13),200,True,
alteration,t(4;19)(q35;q13),t(4;19)(q35;q13),200,True,
alteration,t(5;11)(q35;p15) NSD1/NUP98,t(5;11)(q35;p15) NSD1/NUP98,200,True,
alteration,t(5;18)(q35;q11),t(5;18)(q35;q11),200,True,
alteration,t(6;11)(q27;q23) / MLL-MLLT4(AF6),t(6;11)(q27;q23) / MLL-MLLT4(AF6),200,True,
alteration,t(6;22)(p21;q12),t(6;22)(p21;q12),200,True,
alteration,t(6;9),t(6;9),200,True,
alteration,t(6;9)(p23;q34) DEK/NUP214,t(6;9)(p23;q34) DEK/NUP214,200,True,
alteration,t(7;12)(q36;p13) HLXB9(MNX1)/ETV6(TEL),t(7;12)(q36;p13) HLXB9(MNX1)/ETV6(TEL),200,True,
alteration,t(7;16)(q33;p11),t(7;16)(q33;p11),200,True,
alteration,t(7;22)(p22;q12),t(7;22)(p22;q12),200,True,
alteration,t(8;14)(q24;q32) or other variant of B-ALL,t(8;14)(q24;q32) or other variant of B-ALL,200,True,
alteration,t(8;16)MOZ/CBP,t(8;16)MOZ/CBP,200,True,
alteration,t(8;21),t(8;21),200,True,
alteration,t(8;8)(q21;q13),t(8;8)(q21;q13),200,True,
alteration,t(9;11)(p22;q23) / MLL-MLLT3(AF9),t(9;11)(p22;q23) / MLL-MLLT3(AF9),200,True,
alteration,t(9;15)(q22;q21),t(9;15)(q22;q21),200,True,
alteration,t(9;17)(q22;q11),t(9;17)(q22;q11),200,True,
alteration,t(9;17)(q22;q11.2),t(9;17)(q22;q11.2),200,True,
alteration,t(9;22)(q22-23;q11-12),t(9;22)(q22-23;q11-12),200,True,
alteration,t(9;22)(q22;q12),t(9;22)(q22;q12),200,True,
alteration,t(X;17)(p11.2;q25),t(X;17)(p11.2;q25),200,True,
alteration,t(X;18)(p11.21;q11),t(X;18)(p11.21;q11),200,True,
alteration,t(X;18)(p11.23;q11),t(X;18)(p11.23;q11),200,True,
alteration,t(X;20)(p11.2;q13.3),t(X;20)(p11.2;q13.3),200,True,
alteration,t(X;22((p11;q13),t(X;22((p11;q13),200,True,
alteration,t(X;4)(p11;q31),t(X;4)(p11;q31),200,True,
alteration,TAF15-NR4A3,TAF15-NR4A3,200,True,
alteration,TCF3-PBX1 Fusion,TCF3-PBX1 Fusion,200,True,
alteration,TLS/FEV,TLS/FEV,200,True,
alteration,TP53,TP53,200,True,
