prop_handle,enum_value,description,model_handle,version_string,node_handle
de_identification_method_type,Manual,General description of the de-identification method,,,
de_identification_method_type,Semiautomatic,General description of the de-identification method,,,
de_identification_method_type,Automatic,General description of the de-identification method,,,
de_identification_method_type,Not Applicable,General description of the de-identification method,,,
license,CC BY 3.0,Official or legal permission to do or own a specified thing.,,,
license,CC BY-NC 3.0,Official or legal permission to do or own a specified thing.,,,
license,CC BY-NC 4.0,Official or legal permission to do or own a specified thing.,,,
license,CC BY 4.0,Official or legal permission to do or own a specified thing.,,,
image_modality,OP,The method in which the images are generated.,,,
image_modality,OT,The method in which the images are generated.,,,
image_modality,PR,The method in which the images are generated.,,,
image_modality,PT,The method in which the images are generated.,,,
image_modality,PX,The method in which the images are generated.,,,
image_modality,RF,The method in which the images are generated.,,,
image_modality,RG,The method in which the images are generated.,,,
image_modality,RTDOSE,The method in which the images are generated.,,,
image_modality,RTIMAGE,The method in which the images are generated.,,,
image_modality,RTPLAN,The method in which the images are generated.,,,
image_modality,RTRECORD,The method in which the images are generated.,,,
image_modality,RTSTRUCT,The method in which the images are generated.,,,
image_modality,SM,The method in which the images are generated.,,,
image_modality,SMR,The method in which the images are generated.,,,
image_modality,SR,The method in which the images are generated.,,,
image_modality,ST,The method in which the images are generated.,,,
image_modality,TG,The method in which the images are generated.,,,
image_modality,BI,The method in which the images are generated.,,,
image_modality,AS,The method in which the images are generated.,,,
image_modality,AU,The method in which the images are generated.,,,
image_modality,CD,The method in which the images are generated.,,,
image_modality,CF,The method in which the images are generated.,,,
image_modality,CP,The method in which the images are generated.,,,
image_modality,CR,The method in which the images are generated.,,,
image_modality,US,The method in which the images are generated.,,,
image_modality,VF,The method in which the images are generated.,,,
image_modality,XA,The method in which the images are generated.,,,
image_modality,XC,The method in which the images are generated.,,,
image_modality,CS,The method in which the images are generated.,,,
image_modality,CT,The method in which the images are generated.,,,
image_modality,DD,The method in which the images are generated.,,,
image_modality,DF,The method in which the images are generated.,,,
image_modality,DG,The method in which the images are generated.,,,
image_modality,DM,The method in which the images are generated.,,,
image_modality,DS,The method in which the images are generated.,,,
image_modality,DX,The method in which the images are generated.,,,
image_modality,EC,The method in which the images are generated.,,,
image_modality,EPS,The method in which the images are generated.,,,
image_modality,ES,The method in which the images are generated.,,,
image_modality,FA,The method in which the images are generated.,,,
image_modality,FS,The method in which the images are generated.,,,
image_modality,GM,The method in which the images are generated.,,,
image_modality,HC,The method in which the images are generated.,,,
