prop_handle,enum_value,http_status,passed,notes
de_identification_method_type,Manual,200,True,
de_identification_method_type,Semiautomatic,200,True,
de_identification_method_type,Automatic,200,True,
de_identification_method_type,Not Applicable,200,True,
license,CC BY 3.0,200,True,
license,CC BY-NC 3.0,200,True,
license,CC BY-NC 4.0,200,True,
license,CC BY 4.0,200,True,
image_modality,OP,200,True,
image_modality,OT,200,True,
image_modality,PR,200,True,
image_modality,PT,200,True,
image_modality,PX,200,True,
image_modality,RF,200,True,
image_modality,RG,200,True,
image_modality,RTDOSE,200,True,
image_modality,RTIMAGE,200,True,
image_modality,RTPLAN,200,True,
image_modality,RTRECORD,200,True,
image_modality,RTSTRUCT,200,True,
image_modality,SM,200,True,
image_modality,SMR,200,True,
image_modality,SR,200,True,
image_modality,ST,200,True,
image_modality,TG,200,True,
image_modality,BI,200,True,
image_modality,AS,200,True,
image_modality,AU,200,True,
image_modality,CD,200,True,
image_modality,CF,200,True,
image_modality,CP,200,True,
image_modality,CR,200,True,
image_modality,US,200,True,
image_modality,VF,200,True,
image_modality,XA,200,True,
image_modality,XC,200,True,
image_modality,CS,200,True,
image_modality,CT,200,True,
image_modality,DD,200,True,
image_modality,DF,200,True,
image_modality,DG,200,True,
image_modality,DM,200,True,
image_modality,DS,200,True,
image_modality,DX,200,True,
image_modality,EC,200,True,
image_modality,EPS,200,True,
image_modality,ES,200,True,
image_modality,FA,200,True,
image_modality,FS,200,True,
image_modality,GM,200,True,
image_modality,HC,200,True,
image_modality,HD,200,True,
image_modality,IO,200,True,
image_modality,IVUS,200,True,
image_modality,KO,200,True,
image_modality,LP,200,True,
image_modality,LS,200,True,
image_modality,MA,200,True,
image_modality,MG,200,True,
image_modality,MR,200,True,
image_modality,MS,200,True,
image_modality,AR,200,True,
image_modality,ASMT,200,True,
image_modality,BDUS,200,True,
image_modality,BMD,200,True,
image_modality,CTPROTOCOL,200,True,
image_modality,DMS,200,True,
image_modality,DOC,200,True,
image_modality,EEG,200,True,
image_modality,EMG,200,True,
image_modality,EOG,200,True,
image_modality,FID,200,True,
image_modality,IOL,200,True,
image_modality,IVOCT,200,True,
image_modality,KER,200,True,
image_modality,LEN,200,True,
image_modality,M3D,200,True,
