prop_handle,description,enum_count,enum_values
existing_adverse_event,"An indication as to whether any given adverse event occurred prior to the enrollment of a patient/subject into the clinical trial in question, and/or was ongoing at the time of trial enrollment.",2,Yes|No
ongoing_adverse_event,"An indication as to whether any given adverse event was ongoing as of the end of a treatment cycle, the end of the clinical trial itself, or the patient/subject being taken off study.",2,Yes|No
adverse_event_grade,"The grade of any given adverse event, reported as an enumerated value corresponding to one of the five distinct grades as defined by the Veterinary Comparative Oncology Group's Common Terminology Criteria for Adverse Events (VCOG-CTCAE).",6,1|2|3|4|5|Unknown
adverse_event_grade_description,"The grade of any given adverse event, reported in the form of a single descriptive term corresponding to one of the five enumerated grades as defined by the Veterinary Comparative Oncology Group's Common Terminology Criteria for Adverse Events (VCOG-CTCAE). Although numerical values for grade are standard terms for the reporting of adverse events, the narrative form of adverse event grades will be useful to users not already familiar with adverse event grading.",6,Mild|Moderate|Severe|Life-threatening|Death|Unknown
attribution_to_research,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by the clinical trial/research environment in general, or is unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Undefined
attribution_to_ind,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by any investigational new drugs being administered as part of the clinical trial, or is unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Not Applicable
attribution_to_disease,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by the disease for which the patient/subject is being treated, or is unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Undefined
attribution_to_commercial,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by a commercially-available, FDA-approved therapeutic agent, used within the confines of the clinical trial either for its FDA-approved indication or in an off-label manner, but not as the investigational new drug or part of the investigational new therapy, versus the adverse event in question being unrelated to it.",6,Unrelated|Unlikely|Possible|Probable|Definite|Not Applicable
attribution_to_other,"A qualitative indication as to whether any given adverse event is likely, possibly, probably or definitely caused by some other factor(s), as described by the other_attribution_description property, or is unrelated to such other factors.",6,Unrelated|Unlikely|Possible|Probable|Definite|Undefined
dose_limiting_toxicity,An indication as to whether any given adverse event observed during the clinical trial is indicative of the dose of the therapeutic agent under test being limiting in terms of its toxicity.,3,Yes|No|Not Applicable
unexpected_adverse_event,An indication as to whether any given adverse event observed during the clinical trial is completely unanticipated and therefore considered novel.,3,Yes|No|Undefined
