prop_handle,enum_value,term_value,http_status,passed,notes
existing_adverse_event,Yes,Yes,200,True,
existing_adverse_event,No,No,200,True,
ongoing_adverse_event,Yes,Yes,200,True,
ongoing_adverse_event,No,No,200,True,
adverse_event_grade,1,1,200,True,
adverse_event_grade,2,2,200,True,
adverse_event_grade,3,3,200,True,
adverse_event_grade,4,4,200,True,
adverse_event_grade,5,5,200,True,
adverse_event_grade,Unknown,Unknown,200,True,
adverse_event_grade_description,Mild,Mild,200,True,
adverse_event_grade_description,Moderate,Moderate,200,True,
adverse_event_grade_description,Severe,Severe,200,True,
adverse_event_grade_description,Life-threatening,Life-threatening,200,True,
adverse_event_grade_description,Death,Death,200,True,
adverse_event_grade_description,Unknown,Unknown,200,True,
attribution_to_research,Unrelated,Unrelated,200,True,
attribution_to_research,Unlikely,Unlikely,200,True,
attribution_to_research,Possible,Possible,200,True,
attribution_to_research,Probable,Probable,200,True,
attribution_to_research,Definite,Definite,200,True,
attribution_to_research,Undefined,Undefined,200,True,
attribution_to_ind,Unrelated,Unrelated,200,True,
attribution_to_ind,Unlikely,Unlikely,200,True,
attribution_to_ind,Possible,Possible,200,True,
attribution_to_ind,Probable,Probable,200,True,
attribution_to_ind,Definite,Definite,200,True,
attribution_to_ind,Not Applicable,Not Applicable,200,True,
attribution_to_disease,Unrelated,Unrelated,200,True,
attribution_to_disease,Unlikely,Unlikely,200,True,
attribution_to_disease,Possible,Possible,200,True,
attribution_to_disease,Probable,Probable,200,True,
attribution_to_disease,Definite,Definite,200,True,
attribution_to_disease,Undefined,Undefined,200,True,
attribution_to_commercial,Unrelated,Unrelated,200,True,
attribution_to_commercial,Unlikely,Unlikely,200,True,
attribution_to_commercial,Possible,Possible,200,True,
attribution_to_commercial,Probable,Probable,200,True,
attribution_to_commercial,Definite,Definite,200,True,
attribution_to_commercial,Not Applicable,Not Applicable,200,True,
attribution_to_other,Unrelated,Unrelated,200,True,
attribution_to_other,Unlikely,Unlikely,200,True,
attribution_to_other,Possible,Possible,200,True,
attribution_to_other,Probable,Probable,200,True,
attribution_to_other,Definite,Definite,200,True,
attribution_to_other,Undefined,Undefined,200,True,
dose_limiting_toxicity,Yes,Yes,200,True,
dose_limiting_toxicity,No,No,200,True,
dose_limiting_toxicity,Not Applicable,Not Applicable,200,True,
unexpected_adverse_event,Yes,Yes,200,True,
unexpected_adverse_event,No,No,200,True,
unexpected_adverse_event,Undefined,Undefined,200,True,
breed,Affenpinscher,Affenpinscher,200,True,
breed,Afghan Hound,Afghan Hound,200,True,
breed,Airedale Terrier,Airedale Terrier,200,True,
breed,Akita,Akita,200,True,
breed,Alaskan Klee Kai,Alaskan Klee Kai,200,True,
breed,Alaskan Malamute,Alaskan Malamute,200,True,
breed,American Bulldog,American Bulldog,200,True,
